,tittle,hash,chapter,kitsu_id
36,[PuyaSubs!] 100-man no Inochi no Ue ni Ore wa Tatteiru - 02 [ESP-ENG][1080p][9D0AF660].mkv,ebcdef7fce7e96057792e73483c6b9d585518178,2,43367
37,[PuyaSubs!] Guraburu! - 01 [ESP-ENG][720p][800A3138].mkv,621c40ae260c7d7025b2ef230585786cfed2ce63,1,43102
38,[PuyaSubs!] Guraburu! - 01 [ESP-ENG][1080p][C6F3EAAA].mkv,c2011f0815cc55bc728c1b016ccf4668cd0f6c32,1,43102
39,[PuyaSubs!] Tsukiuta - The Animation 2 - 01 [ESP-ENG][720p][27D28053].mkv,43e083c8c0e8c7c4a2aa89382b6b5cf524a4a02b,1,null
40,[PuyaSubs!] Tsukiuta - The Animation 2 - 01 [ESP-ENG][1080p][FA60A9EE].mkv,bf49ef79987f3bc84e40d6cd3e424f4a8a9422af,1,null
41,[PuyaSubs!] Noblesse - 01 [ESP-ENG][720p][CDF2C8AB].mkv,a0ad3094081a0937ff5136c83a60e991ba108be3,1,null
42,[PuyaSubs!] Noblesse - 01 [ESP-ENG][1080p][D173A5E4].mkv,fbd2e25792fa8a0c42aaa2494e7cf85c850eb661,1,null
43,[PuyaSubs!] Black Clover - 146 [ESP-ENG][720p][F0A5623D].mkv,78995bcee1f8d31d3b0da5488f3316c0eacf03dc,146,13209
44,[PuyaSubs!] Black Clover - 146 [ESP-ENG][1080p][17CCCCF7].mkv,d2b0b1a3031970b1ca4eaca706315f7dba48c267,146,13209
45,[PuyaSubs!] Shadowverse TV - 25 [ESP-ENG][720p][595D57FE].mkv,6935f7897a1c8a5a9e4772fd52044ec740b675bb,25,null
46,[PuyaSubs!] Shadowverse TV - 25 [ESP-ENG][1080p][B132B551].mkv,3bedf85ec9572f98e25545a7b89256d60f975a63,25,null
47,[PuyaSubs!] One Room 3 - 01 [ESP-ENG][720p][7110FCB8].mkv,0c0f229c4c7da3455b7ef8b5695fef91191ace64,1,43556
48,[PuyaSubs!] One Room 3 - 01 [ESP-ENG][1080p][CE5C97].mkv,951bec35513476e033a79064b46e6eb61e0f7e87,1,43556
49,[PuyaSubs!] Golden Kamuy 3 - 25 [ESP-ENG][720p][A70846B2].mkv,d504200247c9bf7b9c391099fd6814a963bc6175,25,42435
50,[PuyaSubs!] Golden Kamuy 3 - 25 [ESP-ENG][1080p][4E93805E].mkv,c14313f46e2a67bac82beba8f9c8bede1f8931f3,25,42435
51,[PuyaSubs!] Olympia Kyklos - 20 [ESP-ENG][720p][40822C31].mkv,51509c734f961fdb33e3f0dea75d0545eb25b4d5,20,null
52,[PuyaSubs!] Olympia Kyklos - 20 [ESP-ENG][1080p][EDD3E182].mkv,49d1e4186b4dce475091057e8aca18f11a46b304,20,null
53,[PuyaSubs!] Himitsu Kessha Taka no Tsume - Golden Spell - 01 [ESP-ENG][720p][772DEB9E].mkv,d2927131f14a95165378a38c928c02d0d4c8c43f,1,null
54,[PuyaSubs!] Himitsu Kessha Taka no Tsume - Golden Spell - 01 [ESP-ENG][1080p][9321AEA].mkv,4b7535e8450cb144f895fc5b0db870079666d221,1,null
55,[PuyaSubs!] Digimon Adventure (2020) - 18 [ESP-ENG][V2][720p][5D02427B].mkv,8f9f5e3bc1d6cb9b178fd4c1d801563b0c01f7fb,18,null
